front_text,back_text,pronunciation,example,notes,front_image_path,back_image_path,front_audio_path,back_audio_path
Hello,Привет,хэлоу,"Hello, how are you?",Приветствие,,,,
Goodbye,До свидания,гудбай,"Goodbye, see you later!",Прощание,,,,
Thank you,Спасибо,сэнк ю,"Thank you very much!",Благодарность,,,,
Please,Пожалуйста,плиз,"Please help me.",Вежливая просьба,,,,
Sorry,Извините,сори,"I'm sorry for being late.",Извинение,,,,
Yes,Да,йес,"Yes, I agree.",Согласие,,,,
No,Нет,ноу,"No, thank you.",Отказ,,,,
Good morning,Доброе утро,гуд морнинг,"Good morning, everyone!",Утреннее приветствие,,,,
Good night,Спокойной ночи,гуд найт,"Good night, sleep well.",Пожелание на ночь,,,,
How are you,Как дела,хау ар ю,"How are you today?",Вопрос о самочувствии,,,,
I'm fine,У меня всё хорошо,айм файн,"I'm fine, thank you.",Ответ на вопрос,,,,
What's your name,Как тебя зовут,вотс ёр нейм,"What's your name?",Знакомство,,,,
My name is,Меня зовут,май нейм из,"My name is John.",Представление,,,,
Nice to meet you,Приятно познакомиться,найс ту мит ю,"Nice to meet you!",При знакомстве,,,,
Where are you from,Откуда ты,вэр ар ю фром,"Where are you from?",Вопрос о происхождении,,,,
I don't understand,Я не понимаю,ай донт андерстэнд,"I don't understand this.",Непонимание,,,,
Can you help me,Можешь мне помочь,кэн ю хелп ми,"Can you help me, please?",Просьба о помощи,,,,
How much,Сколько стоит,хау мач,"How much does it cost?",Вопрос о цене,,,,
Excuse me,Простите,экскьюз ми,"Excuse me, where is the station?",Обращение к незнакомцу,,,,
See you,Увидимся,си ю,"See you tomorrow!",Прощание неформальное,,,,
